"","cbsa.code","cbsa.title","state"
"1","14460","Boston-Cambridge-Newton","Massachusetts"
"2","14860","Bridgeport-Stamford-Norwalk","Connecticut"
"3","25540","Hartford-East Hartford-Middletown","Connecticut"
"4","35300","New Haven-Milford","Connecticut"
"5","35620","New York-Newark-Jersey City","New York"
"6","35980","Norwich-New London","Connecticut"
"7","45860","Torrington","Connecticut"
"8","49340","Worcester","Connecticut"
