"","area","year","con","eduhe","fin","gov","inf","lehos","man","ml","oser","probu","total","ttu"
"45","Massachusetts","2018",157.2,797.9,221.5,454.5,91.5,373,244.1,1.1,138.9,583.9,3642.9,579.4
"46","New Bedford","2016",2.5,16.8,1.8,10.9,0.3,6.8,8.2,NA,2.4,5.8,67.5,12
"47","New Bedford","2017",2.6,17.1,1.8,10.9,0.3,7,7.8,NA,2.4,5.5,67.3,12
"48","New Bedford","2018",2.6,17,1.8,10.6,0.3,7.1,7.5,NA,2.4,5.5,66.6,11.8
"49","New Haven","2016",10.8,79.4,12.5,35.1,3.4,24.7,23.5,NA,10.9,30.4,281.8,51.3
"50","New Haven","2017",10.5,79.7,12.3,34.5,3.7,25.6,23.5,NA,11.1,31.1,284.1,52.2
"51","New Haven","2018",10.9,81.3,12.1,34.2,3.8,25.8,23.4,NA,11.3,31,285.4,51.6
"52","New York","2016",376.9,1950.1,711.7,1477.3,268.4,921.6,451.4,5.1,408,1295.6,9435,1568.8
"53","New York","2017",387.8,2003.8,714.5,1483.6,272.7,950.3,445.3,5,411,1317.8,9560.1,1568.4
"54","New York","2018",398.4,2064.6,719.1,1488.9,275.2,957.8,443.1,5.4,413.6,1340.7,9669.9,1563
"55","New York-Newark-Jersey City","2016",388,1862.1,766.8,1321.5,286,895.9,366.8,NA,419.4,1519.1,9549.2,1723.6
"56","New York-Newark-Jersey City","2017",400.4,1921.1,774.4,1324,290.4,925.9,364.1,NA,420.8,1546.9,9707.6,1739.6
"57","New York-Newark-Jersey City","2018",409.1,1986.6,780.7,1325.6,292.2,936.9,361.9,NA,424.9,1570.3,9829.2,1741
"58","Norwich-New London-Westerly","2016",4.2,20.7,2.9,31,1.2,16.5,16.4,NA,3.6,8.8,128.4,23.1
"59","Norwich-New London-Westerly","2017",4,21.2,2.9,31,1.4,16.9,17.2,NA,3.6,8.9,130.2,23
"60","Norwich-New London-Westerly","2018",3.9,20.9,2.9,30.7,1.4,17,17.5,NA,3.6,9.2,129.9,22.7
"61","Pittsfield","2016",2.1,9.3,2.1,5.4,0.5,5.6,3.6,NA,1.8,4.2,41.9,7.3
"62","Pittsfield","2017",2.2,9.4,1.9,5.3,0.5,5.6,3.4,NA,1.8,4.5,41.9,7.2
