"","MSA","year","size_2","size_3","size_4","size_5","size_6","size_7","size_8","size_9"
"1",14460,2010,0.470198296110188,0.137915231072665,0.0910050658395463,0.699118593022399,0.0909968819307478,0.0485223952664272,0.838637870219574,0.161362129780426
"2",14460,2011,0.469153338369076,0.139782915695097,0.0880734999507373,0.69700975401491,0.0923018818351998,0.0484991296922723,0.837810765542382,0.162189234457618
"3",14460,2012,0.464475302647763,0.14128147860426,0.088544701236486,0.694301482488509,0.0965235968149155,0.0491519388878099,0.839977018191234,0.160022981808765
"4",14460,2013,0.463982999879716,0.140050519225372,0.0887053446132874,0.692738863718375,0.0960506796038651,0.0488512890421395,0.83764083236438,0.16235916763562
"5",14460,2014,0.462589309867447,0.139132441162898,0.0892462167624079,0.690967967792753,0.0963034864662731,0.0485495600146397,0.835821014273666,0.164178985726334
"6",14460,2015,0.464331210191083,0.139514036329323,0.0882519462137297,0.692097192734135,0.0954706298655343,0.0481953290870488,0.835763151686719,0.164236848313281
"7",14460,2016,0.459561332754235,0.139301669045108,0.0884392256623441,0.687302227461686,0.0960941862629522,0.0475196996959732,0.830916113420612,0.169083886579388
"8",14860,2010,0.4996484996485,0.13986013986014,0.0902430902430902,0.72975172975173,0.0842120842120842,0.0424020424020424,0.856365856365856,0.143634143634144
"9",14860,2011,0.498484565014032,0.139981290926099,0.0895790458372311,0.728044901777362,0.0854256314312442,0.0425070159027128,0.855977549111319,0.144022450888681
"10",14860,2012,0.489967927202208,0.144551353770418,0.0893190124561796,0.723838293428806,0.0862982024315656,0.0456477959275006,0.855784291787872,0.144215708212128
"11",14860,2013,0.490656977606407,0.144112412872609,0.0871644668545158,0.721933857333531,0.0869420139403826,0.0438602995699244,0.852736170843838,0.147263829156162
"12",14860,2014,0.486048405003331,0.1428835763452,0.0868551550588409,0.715787136407372,0.0897416919547036,0.0422988675893716,0.847827695951447,0.152172304048553
"13",14860,2015,0.486649503493932,0.140235380654652,0.0893710923133505,0.716255976461935,0.0872747333578522,0.0425524089738875,0.846083118793674,0.153916881206326
"14",14860,2016,0.473538733692047,0.144910444460824,0.0897398098326822,0.708188987985553,0.0877496867398835,0.0426402299697796,0.838578904695216,0.161421095304784
"15",25540,2010,0.429625368032759,0.142576736945413,0.0928627026295306,0.665064807607702,0.0950962807540018,0.0539442959152594,0.814105384276964,0.185894615723036
"16",25540,2011,0.428448305581411,0.147309270176164,0.0897369600441273,0.665494535801703,0.0952528699968973,0.0559175371462061,0.816664942944806,0.183335057055194
"17",25540,2012,0.423900323535486,0.14572864321608,0.0902801679631032,0.659909134714669,0.100192744544641,0.0584084807599642,0.818510360019274,0.181489639980726
"18",25540,2013,0.423897386652034,0.143391179093216,0.0915357706289869,0.658824336374237,0.0965429727690514,0.0571712737499143,0.812538582893203,0.187461417106797
"19",25540,2014,0.421504637581587,0.141875644108554,0.0904500171762281,0.653830298866369,0.0991411885949845,0.0574373067674339,0.810408794228787,0.189591205771213
"20",25540,2015,0.424296134705842,0.139102869997955,0.0884177517213171,0.651816756425114,0.0983366282636853,0.0569568477742177,0.807110232463017,0.192889767536983
"21",25540,2016,0.413054546688843,0.143579647669801,0.088659583856624,0.645293778215268,0.0982655035470622,0.0558704728284851,0.799429754590815,0.200570245409185
"22",35300,2010,0.458917733462539,0.146784311725404,0.0999132962717397,0.705615341459683,0.0996072831131739,0.0448819299229867,0.850104554495843,0.149895445504157
"23",35300,2011,0.452832147863558,0.151549763771351,0.0993717875499714,0.703753699184881,0.0982815014796739,0.0461554436425938,0.848190644307149,0.151809355692851
"24",35300,2012,0.451394628099174,0.147159090909091,0.102169421487603,0.700723140495868,0.102737603305785,0.0449380165289256,0.848398760330578,0.151601239669421
"25",35300,2013,0.453347743296794,0.147650661314395,0.100303638515774,0.701302043126962,0.101178529154444,0.0466265246255983,0.849107096907004,0.150892903092996
"26",35300,2014,0.451944316021986,0.147428982380439,0.0986284481430112,0.698001746545436,0.102532490882005,0.0484409513535727,0.848975188781014,0.151024811218986
"27",35300,2015,0.448124297250332,0.147245221302259,0.0982827353572524,0.693652253909844,0.102984769498109,0.048655831544516,0.845292854952469,0.154707145047531
"28",35300,2016,0.439097821095066,0.14874725723325,0.0981272643772006,0.685972342705516,0.104965045670256,0.0447007194978823,0.835638107873654,0.164361892126346
"29",35620,2010,0.588321975271609,0.129511900186541,0.0775597821501889,0.795393657608339,0.0713861209797617,0.0302571265197462,0.897036905107847,0.102963094892153
"30",35620,2011,0.586533547252961,0.131437011964647,0.0769642633158416,0.79493482253345,0.0718477900692119,0.0298470299930545,0.896629642595716,0.103370357404284
"31",35620,2012,0.580113056844464,0.132778942983149,0.0774231084167732,0.790315108244387,0.0746415796354025,0.0310223958857077,0.895979083765497,0.104020916234503
"32",35620,2013,0.581762031488641,0.132012388508737,0.0772988373370376,0.791073257334415,0.073760528992158,0.0305602114834672,0.89539399781004,0.104606002189959
"33",35620,2014,0.578803454850586,0.132974844259342,0.0779748881918268,0.789753187301755,0.0740613824674241,0.0310497227860224,0.894864292555201,0.105135707444799
"34",35620,2015,0.57789576857962,0.133279521141378,0.0785011557391227,0.789676445460121,0.0743586652479816,0.0308371814292029,0.894872292137305,0.105127707862695
"35",35620,2016,0.57297512921017,0.13426237469215,0.079319435290853,0.786556939193173,0.0750771792292483,0.0311838773457283,0.89281799576815,0.10718200423185
"36",35980,2010,0.451908133310309,0.150405802106717,0.0984285960973925,0.700742531514419,0.0906579174581247,0.0590571576584355,0.850457606630979,0.149542393369021
