"","MSA","year","variable","n_11","n_113","n_114","n_115","n_21","n_211","n_212","n_213","n_22","n_221","n_23","n_236","n_237","n_238","n_31-33","n_311","n_312","n_313","n_314","n_315","n_316","n_321","n_322","n_323","n_324","n_325","n_326","n_327","n_331","n_332","n_333","n_334","n_335","n_336","n_337","n_339","n_42","n_423","n_424","n_425","n_44-45","n_441","n_442","n_443","n_444","n_445","n_446","n_447","n_448","n_451","n_452","n_453","n_454","n_48-49","n_481","n_483","n_484","n_485","n_486","n_487","n_488","n_492","n_493","n_51","n_511","n_512","n_515","n_517","n_518","n_519","n_52","n_521","n_522","n_523","n_524","n_525","n_53","n_531","n_532","n_533","n_54","n_541","n_55","n_551","n_56","n_561","n_562","n_61","n_611","n_62","n_621","n_622","n_623","n_624","n_71","n_711","n_712","n_713","n_72","n_721","n_722","n_81","n_811","n_812","n_813","n_99"
"104",49340,2012,"FIRM",0.00221716203259827,0.000898849472674976,NA,0.0013183125599233,0.00119846596356663,5.99232981783317e-05,0.00101869606903164,0.000119846596356663,0.00143815915627996,0.00143815915627996,0.128295781399808,0.0351749760306807,0.00665148609779482,0.0865891658676894,0.0654961649089166,0.00287631831255992,0.000659156279961649,0.0011385426653883,0.000719079578139981,5.99232981783317e-05,0.000179769894534995,0.00233700862895494,0.00179769894534995,0.00467401725790988,0.000779002876318313,0.00323585810162991,0.00455417066155321,0.00317593480345158,0.000958772770853308,0.0145014381591563,0.00671140939597315,0.00395493767976989,0.00269654841802493,0.00101869606903164,0.00365532118887824,0.00671140939597315,0.0565076701821668,0.0348753595397891,0.013902205177373,0.00779002876318313,0.12571907957814,0.0157598274209012,0.00605225311601151,0.00497363374880153,0.013003355704698,0.0278044103547459,0.0050934803451582,0.0112655800575264,0.00916826462128476,0.00611217641418984,0.00215723873441994,0.0123441994247363,0.0128835091083413,0.0245086289549377,0.00035953978906999,NA,0.0118648130393097,0.00485378715244487,0.000179769894534995,NA,0.00383509108341323,0.00191754554170662,0.00179769894534995,0.0107262703739214,0.00311601150527325,0.00203739213806328,0.0013183125599233,0.00167785234899329,0.00125838926174497,0.0013183125599233,0.0360139022051774,NA,0.00904841802492809,0.00790987535953979,0.0195949185043145,NA,0.0316994247363375,0.026546021093001,0.00497363374880153,0.000179769894534995,0.113374880153404,0.113374880153404,0.00527325023969319,0.00527325023969319,0.0624400767018217,0.0565076701821668,0.00593240651965484,0.0174976030680729,0.0174976030680729,0.0967761265580058,0.0686121764141898,0.000898849472674976,0.00761025886864813,0.0227109300095877,0.0169582933844679,0.00257670182166826,0.00119846596356663,0.0132430488974113,0.0990532118887824,0.00545302013422819,0.0936001917545542,0.115711888782359,0.037392138063279,0.0351150527325024,0.0432046979865772,0.00167785234899329
"105",49340,2013,"ESTB",0.00197698585694733,0.000709687230699042,NA,0.00126729862624829,0.00116591473614843,NA,0.00106453084604856,0.000101383890099863,0.00268667308764637,0.00268667308764637,0.109443909362802,0.0305672428651087,0.0056268059005424,0.0732498605971511,0.0569270542910731,0.00263598114259644,0.000709687230699042,0.000912455010898768,0.000912455010898768,0.000101383890099863,0.000152075835149795,0.0019262939118974,0.00162214224159781,0.00380189587874487,0.000760379175748973,0.00294013281289603,0.00390327976884473,0.00299082475794596,0.000760379175748973,0.011861915141684,0.00582957368074213,0.00344705226339535,0.00223044558219699,0.000861763065848837,0.00309220864804583,0.00547473006539261,0.0497794900390328,0.0316317737111573,0.0117605312515841,0.00638718507629138,0.147564252040351,0.0175394129872763,0.00633649313124145,0.00628580118619151,0.0138895929436812,0.0283367972829117,0.0106960004055356,0.0150555076798297,0.0127743701525828,0.00648856896639124,0.00608303340599179,0.0134840573832818,0.0105946165154357,0.0229127591625691,0.000202767780199726,NA,0.0109494601307852,0.00491711866984336,0.000152075835149795,NA,0.00344705226339535,0.00152075835149795,0.00172352613169767,0.0144978962842804,0.00278805697774624,0.00147006640644802,0.00116591473614843,0.00684341258174076,0.00106453084604856,0.00116591473614843,0.0492218786434835,NA,0.0225072236021696,0.00821209509808891,0.018502559943225,NA,0.031834541491357,0.0255487403051655,0.00608303340599179,0.000202767780199726,0.098494449232017,0.098494449232017,0.00537334617529275,0.00537334617529275,0.0567242865108734,0.0512495564454808,0.00547473006539261,0.0157651949105287,0.0157651949105287,0.114462411922745,0.0670654433010595,0.0009631469559487,0.0178435646575759,0.0285902570081614,0.0151061996248796,0.00223044558219699,0.00106453084604856,0.0118112231966341,0.100623510924114,0.00532265423024281,0.0953008566938713,0.10376641151721,0.0344198306889035,0.0315810817661074,0.037765499062199,0.00167283418664774
"106",49340,2013,"FIRM",0.00233911113776765,0.000839680921249925,NA,0.00149943021651772,0.00107958975589276,NA,0.000959635338571343,0.000119954417321418,0.00137947579919631,0.00137947579919631,0.129130930246506,0.0361062796137468,0.00647753853535656,0.086547112097403,0.0651352486055299,0.00299886043303545,0.000839680921249925,0.00107958975589276,0.00107958975589276,0.000119954417321418,0.000179931625982127,0.00227913392910694,0.00185929346848198,0.00437833623223175,0.000839680921249925,0.00329874647633899,0.00449829064955317,0.00329874647633899,0.000899658129910634,0.0139746896179452,0.00659749295267798,0.0040184729802675,0.00263899718107119,0.00101961254723205,0.00353865531098183,0.00647753853535656,0.0544593054639237,0.0339471001019613,0.0131350086966953,0.00749715108258862,0.124572662388292,0.0161338691297307,0.00623762970071373,0.00455826785821388,0.0125352366100882,0.0281892880705332,0.00521801715348168,0.0106159659329455,0.0094164217597313,0.00575781203142806,0.00221915672044623,0.0126551910274096,0.0119354645234811,0.02453067834223,0.000239908834642836,NA,0.0122953277754453,0.00479817669285671,0.000179931625982127,NA,0.00395849577160679,0.00155940742517843,0.00173933905116056,0.0100161938463384,0.00281892880705332,0.00161938463383914,0.00125952138187489,0.00173933905116056,0.00119954417321418,0.00137947579919631,0.0358063935704432,NA,0.00893660409044563,0.00773705991723145,0.0195525700233911,NA,0.031727943381515,0.0265099262280333,0.00503808552749955,0.000239908834642836,0.112277334612847,0.112277334612847,0.00509806273616026,0.00509806273616026,0.0626162058417801,0.0567984166016914,0.00581778924008877,0.0181730942241948,0.0181730942241948,0.0962034426917771,0.0679541774125832,0.000959635338571343,0.00743717387392791,0.0227913392910694,0.0172134588856235,0.00263899718107119,0.00113956696455347,0.0134348947399988,0.100221915672045,0.00581778924008877,0.0944041264319559,0.118335032687579,0.0389851856294608,0.035026689857854,0.0443231572002639,0.00197924788580339
"107",49340,2014,"ESTB",0.00187693400294222,0.000710191244356516,NA,0.0011667427585857,0.00106528686653477,NA,0.000963830974483843,0.000101455892050931,0.00268858113934967,0.00268858113934967,0.112362400446406,0.0317049662659159,0.0054278902247248,0.0752295439557652,0.0559529244660884,0.00324658854562979,0.00055800740628012,0.000862375082432912,0.000811647136407447,0.00055800740628012,0.000202911784101862,0.00187693400294222,0.00167402221884036,0.00390605184396084,0.000811647136407447,0.00289149292345153,0.00380459595190991,0.00284076497742606,0.000760919190381981,0.0116166996398316,0.0055800740628012,0.00344950032973165,0.00218130167909501,0.000811647136407447,0.00289149292345153,0.00461624308831735,0.0488002840764977,0.0306904073454066,0.0117181555318825,0.00639172119920864,0.14553847714706,0.0177040531628874,0.00593516968497945,0.00547861817075027,0.0137472733729011,0.0289149292345153,0.00979049358291483,0.0146603764013595,0.0121747070461117,0.00654390503728504,0.00664536092933597,0.0130370821285446,0.0109065083954751,0.0231826713336377,0.000202911784101862,NA,0.0113630599097043,0.00507279460254654,0.000152183838076396,NA,0.00329731649165525,0.00136965454268757,0.00172475016486582,0.0151676558616142,0.00299294881550246,0.00136965454268757,0.0011667427585857,0.00735555217369249,0.00121747070461117,0.00106528686653477,0.0493582914827779,NA,0.0223710241972303,0.00831938314817633,0.0186678841373713,NA,0.0327702531324507,0.0259219804190128,0.00664536092933597,0.000202911784101862,0.0979049358291483,0.0979049358291483,0.00583371379292852,0.00583371379292852,0.0556485567899356,0.0503728504032872,0.0052757063866484,0.0163851265662253,0.0163851265662253,0.113376959366915,0.0651346826966976,0.000913103028458378,0.0200882666260843,0.0272409070156749,0.0152691117536651,0.00213057373306955,0.00106528686653477,0.0120732511540608,0.0992745903718358,0.00507279460254654,0.0942017957692893,0.105361943894892,0.0350530107035966,0.0319078780500178,0.0384010551412773,0.00218130167909501
"108",49340,2014,"FIRM",0.00222075505671928,0.000840285697137027,NA,0.00138046935958226,0.000960326511013745,NA,0.000840285697137027,0.000120040813876718,0.00138046935958226,0.00138046935958226,0.132705119740712,0.037452733929536,0.0063021427285277,0.0889502430826481,0.0641017946101675,0.00372126523017826,0.000660224476321949,0.0010203469179521,0.000960326511013745,0.000660224476321949,0.000240081627753436,0.00222075505671928,0.00192065302202749,0.00450153052037693,0.000900306104075386,0.00330112238160975,0.00432146929956185,0.00318108156773303,0.000900306104075386,0.0136246323750075,0.00642218354240442,0.00402136726487006,0.00252085709141108,0.000960326511013745,0.00330112238160975,0.00546185703139067,0.053658243802893,0.0331312646299742,0.0131444691195006,0.00750255086729488,0.122621691375068,0.0160854690594802,0.00576195906608247,0.00420142848568513,0.012364203829302,0.0288097953304123,0.00468159174119201,0.0102634895864594,0.0089430406338155,0.00594202028689754,0.00204069383590421,0.0121241222015485,0.0121241222015485,0.024908468879419,0.000240081627753436,NA,0.0129043874917472,0.00504171418282216,0.000180061220815077,NA,0.00372126523017826,0.0013204489526439,0.00174059180121241,0.0103835304003361,0.00312106116079467,0.00150051017345898,0.00126042854570554,0.00192065302202749,0.0013204489526439,0.00126042854570554,0.0360722645699538,NA,0.00900306104075386,0.00768261208810996,0.0198067342896585,NA,0.0320508973050837,0.0269491627153232,0.00492167336894544,0.000240081627753436,0.112118120160855,0.112118120160855,0.00540183662445231,0.00540183662445231,0.0608006722285577,0.0550987335694136,0.00570193865914411,0.0189064281855831,0.0189064281855831,0.0954924674389292,0.0667426925154553,0.000960326511013745,0.00792269371586339,0.0228677750435148,0.0174059180121241,0.00252085709141108,0.00114038773182882,0.0137446731888842,0.0984934877858472,0.00558189784526739,0.0929115899405798,0.120220875097533,0.039793529800132,0.0352919992797551,0.045135346017646,0.00258087749834944
"109",49340,2015,"ESTB",0.00191339375629406,0.000654582074521652,NA,0.00125881168177241,0.00100704934541793,NA,0.000906344410876133,0.000100704934541793,0.0026686807653575,0.0026686807653575,0.115256797583082,0.0326787512588117,0.00563947633434038,0.0769385699899295,0.054833836858006,0.00297079556898288,0.000755287009063444,0.000704934541792548,0.000855991943605237,0.000453172205438066,0.000100704934541793,0.00211480362537764,0.00156092648539778,0.00352467270896274,0.000755287009063444,0.00307150050352467,0.00387713997985901,0.00312185297079557,0.000855991943605237,0.0114300100704935,0.00553877139979859,0.00327291037260826,0.00216515609264854,0.00080563947633434,0.0027190332326284,0.00417925478348439,0.0472306143001007,0.0294058408862034,0.0115810674723061,0.00624370594159114,0.143101711983887,0.0172205438066465,0.00553877139979859,0.00523665659617321,0.0134944612286002,0.0291540785498489,0.00971802618328298,0.0150050352467271,0.0120342396777442,0.00644511581067472,0.0066968781470292,0.0119335347432024,0.0106243705941591,0.0243705941591138,0.000201409869083585,NA,0.0114300100704935,0.00533736153071501,0.000100704934541793,NA,0.00372608257804632,0.00156092648539778,0.00201409869083585,0.0147029204431017,0.00292044310171198,0.00146022155085599,0.00100704934541793,0.00715005035246727,0.00110775427995972,0.00105740181268882,0.0483383685800604,NA,0.021852970795569,0.00820745216515609,0.0182779456193353,NA,0.0327794561933535,0.0260322255790534,0.00659617321248741,0.000151057401812689,0.0968781470292044,0.0968781470292044,0.00599194360523666,0.00599194360523666,0.0559919436052367,0.0507049345417925,0.00528700906344411,0.0168177240684794,0.0168177240684794,0.11570996978852,0.0680765357502518,0.000906344410876133,0.0194864048338369,0.0272406847935549,0.0153071500503525,0.00221550855991944,0.00105740181268882,0.0120342396777442,0.0997985901309164,0.00498489425981873,0.0948136958710977,0.105236656596173,0.0356495468277946,0.03202416918429,0.0375629405840886,0.00206445115810675
"110",49340,2015,"FIRM",0.0022683858643744,0.000776026743075454,NA,0.00149235912129895,0.00089541547277937,NA,0.000776026743075454,0.000119388729703916,0.00137297039159503,0.00137297039159503,0.136461318051576,0.0386819484240688,0.00656638013371538,0.0912129894937918,0.0627984718242598,0.0034025787965616,0.00089541547277937,0.000835721107927412,0.00101480420248329,0.000537249283667622,0.000119388729703916,0.00250716332378224,0.00179083094555874,0.00405921680993314,0.000835721107927412,0.00352196752626552,0.00441738299904489,0.00352196752626552,0.00101480420248329,0.0134909264565425,0.0063872970391595,0.00376074498567335,0.00250716332378224,0.000955109837631328,0.00310410697230181,0.00495463228271251,0.0518744030563515,0.0318170964660936,0.0128939828080229,0.00734240687679083,0.120045367717287,0.0158190066857689,0.00531279847182426,0.00399952244508118,0.0120582617000955,0.0288920725883477,0.00477554918815664,0.0103868194842407,0.00859598853868195,0.00579035339063992,0.00208930276981853,0.0111628462273161,0.0118194842406877,0.0262655205348615,0.000238777459407832,NA,0.0131327602674308,0.0052531041069723,0.000119388729703916,NA,0.00429799426934097,0.00137297039159503,0.00208930276981853,0.0103271251193887,0.00316380133715377,0.00161174785100287,0.00119388729703916,0.00191021967526266,0.00119388729703916,0.00125358166189112,0.0352196752626552,NA,0.00859598853868195,0.00781996179560649,0.0192812798471824,NA,0.0319364851957975,0.026981852913085,0.0048352435530086,0.000179083094555874,0.110792741165234,0.110792741165234,0.00567096466093601,0.00567096466093601,0.0618433619866285,0.0561723973256925,0.00567096466093601,0.0195797516714422,0.0195797516714422,0.0948543457497612,0.0663801337153773,0.000955109837631328,0.00746179560649475,0.0229823304680038,0.0174904489016237,0.00262655205348615,0.0011341929321872,0.0137297039159503,0.100525310410697,0.00555157593123209,0.0949737344794651,0.119985673352436,0.0404130850047755,0.0353390639923591,0.0442335243553009,0.00244746895893028
"111",49340,2016,"ESTB",0.00164097463948284,0.000596718050721034,NA,0.00104425658876181,0.000944803580308304,NA,0.000845350571854799,9.94530084535057e-05,0.00223769269020388,0.00223769269020388,0.117404276479363,0.0336151168572849,0.00512182993535554,0.078667329686723,0.0545002486325211,0.00333167578319244,0.000745897563401293,0.000646444554947787,0.00069617105917454,0.000198906016907011,9.94530084535057e-05,0.00203878667329687,0.00154152163102934,0.00333167578319244,0.000745897563401293,0.00313276976628543,0.00372948781700646,0.00298359025360517,0.000944803580308304,0.0115365489806067,0.00556936847339632,0.00338140228741919,0.00233714569865738,0.000795624067628046,0.0026355047240179,0.00407757334659373,0.0452511188463451,0.0281452013923421,0.0111884634510194,0.00591745400298359,0.143411238189955,0.01730482347091,0.00566882148184983,0.00532073595226256,0.013276976628543,0.0294380905022377,0.0106414719045251,0.0146195922426653,0.0116360019890602,0.00636499254102437,0.00661362506215813,0.0118349080059672,0.0106911984087519,0.0251118846345102,0.000198906016907011,NA,0.0118846345101939,0.00561909497762307,9.94530084535057e-05,4.97265042267529e-05,0.00377921432123322,0.00149179512680259,0.00198906016907011,0.0150671307807061,0.00283441074092491,0.00144206862257583,0.000944803580308304,0.00760815514669319,0.00104425658876181,0.00119343610144207,0.047886623570363,NA,0.0219791148682248,0.008652411735455,0.0172550969666832,NA,0.0342615614122327,0.0273495773247141,0.00671307807061164,0.000198906016907011,0.0966683242168076,0.0966683242168076,0.00591745400298359,0.00591745400298359,0.056340129288911,0.0508702138239682,0.00546991546494281,0.0167578319244157,0.0167578319244157,0.1156141223272,0.0679264047737444,0.000895077076081551,0.0194927896568871,0.0272998508204873,0.0152660367976131,0.00188960716061661,0.00114370959721532,0.0122327200397812,0.0993038289408255,0.00492292391844853,0.0943809050223769,0.104027846842367,0.0349577324714073,0.0321233217304823,0.0369467926404774,0.00238687220288414
"112",49340,2016,"FIRM",0.0019538188277087,0.000710479573712256,NA,0.00124333925399645,0.000828892835997632,NA,0.000710479573712256,0.000118413262285376,0.00142095914742451,0.00142095914742451,0.139668442865601,0.0400236826524571,0.00597986974541149,0.0936648904677324,0.0626406157489639,0.00384843102427472,0.00088809946714032,0.000769686204854944,0.000828892835997632,0.000236826524570752,0.000118413262285376,0.00242747187685021,0.00177619893428064,0.00378922439313203,0.000828892835997632,0.00361160449970397,0.00426287744227353,0.0034339846062759,0.00112492599171107,0.0136767317939609,0.00651272942569568,0.00396684428656009,0.00272350503256365,0.000947306098283008,0.00301953818827709,0.00479573712255773,0.0493783303730018,0.0301953818827709,0.0122557726465364,0.00698638247483718,0.118472468916519,0.0158673771462404,0.00550621669626998,0.00373001776198934,0.011959739490823,0.0294256956779159,0.00408525754884547,0.0100059206631143,0.00822972172883363,0.00562462995855536,0.00207223208999408,0.0110716400236827,0.0117229129662522,0.0271166370633511,0.000236826524570752,NA,0.0137359384251036,0.00550621669626998,0.000118413262285376,5.9206631142688e-05,0.00432208407341622,0.00130254588513914,0.00201302545885139,0.0104795737122558,0.00307874481941978,0.00159857904085258,0.00112492599171107,0.00213143872113677,0.00112492599171107,0.00142095914742451,0.0346358792184725,NA,0.00864416814683244,0.00822972172883363,0.0182356423919479,NA,0.0332741267021906,0.0280639431616341,0.00503256364712848,0.000236826524570752,0.111130846654825,0.111130846654825,0.00556542332741267,0.00556542332741267,0.0635879218472469,0.05748963883955,0.00609828300769686,0.0194789816459443,0.0194789816459443,0.0931320307874482,0.0651865008880995,0.000947306098283008,0.00722320899940793,0.0228537596210776,0.0175251628182356,0.00224985198342214,0.00124333925399645,0.0140319715808171,0.100355239786856,0.00550621669626998,0.0948490230905861,0.119538188277087,0.0399052693901717,0.0357608052101835,0.0438721136767318,0.00284191829484902
