"","geo_id","name","year","agri","amenities","construction","education","finance","information","professional","retail","total_emp","transportation","wholesale"
"48",35980,"Norwich-New London",2012,979,24804,5042,33110,5541,1706,11246,14528,133662,6035,2471
"49",35980,"Norwich-New London",2013,501,22335,8682,31624,5870,1831,12923,14654,136491,5057,2575
"50",35980,"Norwich-New London",2014,682,23938,8708,34067,5720,1230,11692,14236,136304,5663,1445
"51",35980,"Norwich-New London",2015,713,18641,6839,32086,7027,2650,12351,16784,131346,6027,2050
"52",35980,"Norwich-New London",2016,1066,22722,7224,31547,5879,2239,11486,16457,136922,5942,2945
"53",35980,"Norwich-New London",2017,700,20194,7857,31242,5808,2049,13170,13077,130248,4956,1798
"54",35980,"Norwich-New London",2018,1674,18597,7056,29451,6846,1747,10128,16020,132998,5827,3031
"55",45860,"Torrington",2010,1118,7300,6671,25409,7190,2155,11080,9852,97532,3320,2537
"56",45860,"Torrington",2011,1115,7570,8601,27908,6150,1893,9589,9883,97079,3090,1840
"57",45860,"Torrington",2012,837,7851,9556,26996,7697,2256,9846,11243,100105,3751,2074
"58",45860,"Torrington",2013,1269,7995,6408,27726,7066,2152,9641,10321,99698,2952,1496
"59",45860,"Torrington",2014,1076,7206,6515,25781,6539,2058,10033,11526,96746,3480,2173
"60",45860,"Torrington",2015,981,7610,7233,24494,6246,2265,8268,10925,96620,4135,2236
"61",45860,"Torrington",2016,1018,6733,8741,23462,6286,3330,9127,12358,98700,2373,1780
"62",45860,"Torrington",2017,978,7376,6614,24275,7037,2667,10914,12428,97221,3638,1508
"63",45860,"Torrington",2018,772,7708,6021,24439,6502,1655,10305,10287,96288,3766,2035
"64",49340,"Worcester",2010,2179,27658,19506,105852,23046,7357,39442,41093,381625,15674,10060
"65",49340,"Worcester",2011,1325,31801,24348,102040,25753,7764,39103,44700,389542,15712,11029
"66",49340,"Worcester",2012,1555,30260,21119,108603,25417,7637,46798,49946,396201,15385,9867
"67",49340,"Worcester",2013,2302,36092,26856,127113,27693,8791,49998,53780,457998,17896,12336
"68",49340,"Worcester",2014,3590,39276,27656,127275,29594,9652,50306,56679,472687,18383,10661
"69",49340,"Worcester",2015,3063,41813,26136,130740,28890,8281,47512,58225,468421,17015,11754
"70",49340,"Worcester",2016,2389,36159,33271,132451,27943,10028,51084,55890,481289,20772,12034
"71",49340,"Worcester",2017,3360,39915,31674,131314,29445,8806,48972,53597,473591,20648,10643
"72",49340,"Worcester",2018,2604,37907,29797,137742,30503,8668,53526,52407,485670,24702,11701
